# MD Simulator 0.1
# -------------------------------
# Set up simulation box
# Simulation box properties:
# Lx=   5.3970000000000002      Nx=           5
# Ly=   5.3970000000000002      Ny=           5
# Lz=   5.3970000000000002      Nz=           5
# Set up particles
# Starting MD run
# Uc=  -6.2242255115239169E-003 Fc=  -4.3230710625990713E-003
# Um=   16128.000000000000      Fm=   780288.00000000000     
# Target T=   200.00000000000000      K=   103.40862000000000     
    70    1.035489E+02   -2.105494E+02  3.642928E+00
    80    1.033333E+02   -2.109366E+02  3.297136E+00
    90    1.036644E+02   -2.103551E+02  4.261924E+00
   100    1.030637E+02   -2.077653E+02  4.116981E+00
   110    1.036248E+02   -2.102906E+02  4.006962E+00
   120    1.035000E+02   -2.097347E+02  3.904670E+00
   130    1.033605E+02   -2.069260E+02  4.465728E+00
   140    1.033940E+02   -2.068657E+02  4.240632E+00
   150    1.033135E+02   -2.073803E+02  3.663273E+00
   160    1.030697E+02   -2.070203E+02  3.357488E+00
   170    1.033075E+02   -2.075562E+02  3.485001E+00
   180    1.033794E+02   -2.055208E+02  3.976515E+00
   190    1.034020E+02   -2.066928E+02  3.847784E+00
   200    1.032052E+02   -2.049931E+02  4.396199E+00
   210    1.034094E+02   -2.042731E+02  4.025261E+00
   220    1.032686E+02   -2.041574E+02  3.482883E+00
   230    1.034203E+02   -2.060581E+02  4.015102E+00
   240    1.034366E+02   -2.062127E+02  4.099697E+00
   250    1.033366E+02   -2.065801E+02  3.833693E+00
   260    1.033118E+02   -2.043570E+02  3.549193E+00
   270    1.037415E+02   -2.056625E+02  4.070352E+00
   280    1.031690E+02   -2.048019E+02  3.948818E+00
   290    1.037346E+02   -2.052620E+02  4.136038E+00
   300    1.031315E+02   -2.067783E+02  3.883679E+00
   310    1.033644E+02   -2.047494E+02  3.557128E+00
   320    1.032098E+02   -2.028839E+02  3.753601E+00
   330    1.032439E+02   -2.039293E+02  3.730258E+00
   340    1.032116E+02   -2.013772E+02  4.012951E+00
   350    1.034675E+02   -2.025551E+02  3.719827E+00
   360    1.033513E+02   -2.033816E+02  4.011361E+00
   370    1.033724E+02   -2.026635E+02  4.025401E+00
   380    1.035060E+02   -2.027892E+02  4.097638E+00
   390    1.032617E+02   -2.027814E+02  3.859038E+00
   400    1.027727E+02   -2.025556E+02  4.447330E+00
   410    1.036874E+02   -2.021216E+02  4.803743E+00
   420    1.035113E+02   -2.014799E+02  3.824251E+00
   430    1.031157E+02   -1.991996E+02  4.213817E+00
   440    1.030028E+02   -1.979312E+02  4.260253E+00
   450    1.033766E+02   -1.993842E+02  4.087544E+00
   460    1.032220E+02   -2.007269E+02  3.882426E+00
   470    1.036112E+02   -2.006508E+02  3.817713E+00
   480    1.032426E+02   -1.992350E+02  4.333073E+00
   490    1.031246E+02   -1.983539E+02  4.404085E+00
   500    1.033309E+02   -1.973214E+02  4.072015E+00

#Simulation time:      31.4009991     sec
#
# Averaged quantities:
#         Ek=  1.033869E+02   U= -2.050104E+02   P=  3.945188E+00
# Rcm= -0.20947919116948988       0.17431866768081425       -9.7685263753608309E-002
# Diffusivity=   0.0000000000000000      nm^2/fs
# -------------------------------
# Compute g(r)
# delete boxes
# delete vectors
